Year,Month,Division,rolling_avg_goal_diff
2015,5,G1,0.7593354583212596
2015,8,G1,0.5515973630831644
2015,9,G1,0.4562908496732026
2015,10,G1,0.21373456790123457
2015,11,G1,0.36531502767134955
2015,12,G1,0.24031502767134957
2016,1,G1,0.3476274683171236
2016,2,G1,0.3267288267288268
2016,3,G1,0.43059356102834373
2016,4,G1,0.5376021080368907
2016,9,G1,0.5527536231884058
2016,10,G1,0.5761290322580646
2016,11,G1,0.5847564832384567
2016,12,G1,0.5292009276829012
2017,1,G1,0.4478545041204888
2017,2,G1,0.4576584256891163
2017,3,G1,0.6937695368002273
2017,4,G1,0.7839869281045752
2017,8,G1,0.6222222222222222
2017,9,G1,0.4354938271604938
2017,10,G1,0.38175819497658575
2017,11,G1,0.46509152830991907
2017,12,G1,0.2907088122605364
2018,1,G1,0.3506944444444445
2018,2,G1,0.2881944444444445
2018,3,G1,0.2465277777777778
2018,4,G1,0.3375000000000001
2018,5,G1,0.5666666666666668
2018,8,G1,0.5388888888888889
2018,9,G1,0.4650537634408602
2018,10,G1,0.27838709677419354
2018,11,G1,0.5144982078853046
2018,12,G1,0.5355555555555556
2019,1,G1,0.5347222222222222
2019,2,G1,0.4444444444444445
2019,3,G1,0.5305555555555556
2019,4,G1,0.4247222222222222
2019,5,G1,0.32055555555555554
2019,8,G1,-0.06833333333333334
2019,9,G1,0.19833333333333333
2019,10,G1,0.41460317460317464
2019,11,G1,0.6340476190476191
2019,12,G1,0.5461309523809524
2020,1,G1,0.49533730158730166
2020,2,G1,0.56875
2020,3,G1,0.8261904761904763
2020,6,G1,0.8809523809523809
2020,7,G1,0.6103174603174603
2020,9,G1,0.25912698412698415
2020,10,G1,0.167512077294686
2020,11,G1,0.1286231884057971
2020,12,G1,0.003623188405797099
2021,1,G1,-0.038461538461538464
2021,2,G1,0.1282051282051282
2021,3,G1,0.21516164994425865
2021,4,G1,0.23480598410472187
2021,5,G1,0.06813931743805518
2021,9,G1,0.13594470046082952
2021,10,G1,0.12081128747795417
2021,11,G1,0.21929613596280265
2021,12,G1,0.13120089786756456
2022,1,G1,0.10332355816226786
2022,2,G1,0.24201819685690654
2022,3,G1,0.20868486352357327
2022,4,G1,0.17202797202797204
2022,5,G1,0.19766899766899768
2024,11,G1,0.2976689976689977
2024,12,G1,0.3661538461538461
2025,1,G1,0.21047619047619048
2025,2,G1,0.14857142857142858
2025,3,G1,0.17460317460317457
2025,4,G1,0.2619047619047619
2025,5,G1,0.19047619047619047
2008,1,I1,0.21875
2008,2,I1,0.38388480392156865
2008,3,I1,0.4254147280381079
2008,4,I1,0.5720102564933924
2008,5,I1,0.4334481649901245
2008,8,I1,0.397289972899729
2008,9,I1,0.41111111111111115
2008,10,I1,0.5205128205128206
2008,11,I1,0.6805128205128205
2008,12,I1,0.5916239316239317
2009,1,I1,0.4610335917312662
2009,2,I1,0.22603359173126614
2009,3,I1,0.0552733578131375
2009,4,I1,0.1986842105263158
2009,5,I1,0.3670175438596492
2009,8,I1,0.36000000000000004
2009,9,I1,0.36833333333333335
2009,10,I1,0.24484126984126986
2009,11,I1,0.4185254803675857
2009,12,I1,0.48711522395732915
2010,1,I1,0.580019052155275
2010,2,I1,0.5792030586832229
2010,3,I1,0.5489466484268125
2010,4,I1,0.5278682170542636
2010,5,I1,0.5216666666666666
2010,8,I1,0.6083333333333334
2010,9,I1,0.5166666666666667
2010,10,I1,0.4916666666666667
